day,male,female
2021-03-19,352998,212969
2021-03-20,355339,199257
2021-03-21,342864,188923
2021-03-22,307882,188221
2021-03-23,308585,188522
2021-03-24,306444,197719
2021-03-25,327179,203404
2021-03-26,343333,215410
2021-03-27,316511,187819
2021-03-28,297214,178555
2021-03-29,285007,183171
2021-03-30,290157,185177
2021-03-31,314504,197485
2021-04-01,295107,200494
2021-04-02,310190,185344
2021-04-03,302632,170696
2021-04-04,298652,174442
2021-04-05,304605,171566
2021-04-06,304504,184642
2021-04-07,298384,191632
2021-04-08,310758,196347
2021-04-09,333667,214374
2021-04-10,335640,190528
2021-04-11,327146,183639
2021-04-12,295575,192067
2021-04-13,296946,177218
2021-04-14,296344,186381
2021-04-15,283234,189525
2021-04-16,300759,189893
2021-04-17,243470,145413
2021-04-18,333968,166649
2021-04-19,376977,176348
2021-04-20,380555,187050
2021-04-21,312063,179893
2021-04-22,285441,179759
2021-04-23,299086,183037
2021-04-24,286579,159492
2021-04-25,283602,160830
2021-04-26,266211,165512
2021-04-27,291695,181398
2021-04-28,293602,185746
2021-04-29,306177,192401
2021-04-30,306979,189491
2021-05-01,281595,161098
2021-05-02,290090,173071
2021-05-03,268251,161064
2021-05-04,301762,176950
2021-05-05,305207,185779
2021-05-06,320490,198923
2021-05-07,359854,210762
2021-05-08,380254,197016
2021-05-09,330122,180997
2021-05-10,298652,193873
2021-05-11,323166,198956
2021-05-12,313133,196782
2021-05-13,326477,202334
2021-05-14,317180,193705
2021-05-15,331861,177351
2021-05-16,309086,171432
2021-05-17,295675,181498
2021-05-18,311059,187251
2021-05-19,316042,185846
2021-05-20,307615,191866
2021-05-21,313434,191732
2021-05-22,349586,213404
2021-05-23,316611,165847
2021-05-24,270526,170094
2021-05-25,278987,174007
2021-05-26,322765,187719
2021-05-27,288117,183639
2021-05-28,296779,184508
2021-05-29,303601,160663
2021-05-30,245041,140062
2021-05-31,248118,152068
2021-06-01,277883,172000
2021-06-02,291896,177351
2021-06-03,283234,178522
2021-06-04,280726,182836
2021-06-05,256178,154376
2021-06-06,281830,162502
2021-06-07,269689,168255
2021-06-08,285742,173873
2021-06-09,297648,182702
2021-06-10,300123,187987
2021-06-11,319788,187719
2021-06-12,314671,172301
2021-06-13,318317,171666
2021-06-14,297314,177418
2021-06-15,307715,179759
2021-06-16,317414,192769
2021-06-17,307949,193037
2021-06-18,374201,203036
2021-06-19,280090,158054
2021-06-20,270559,165646
2021-06-21,278117,170730
2021-06-22,315240,186047
2021-06-23,282799,173840
2021-06-24,279087,177318
2021-06-25,307146,189425
2021-06-26,289756,166884
2021-06-27,269823,161165
2021-06-28,331728,190796
2021-06-29,361559,203973
2021-06-30,299755,187686
2021-07-01,292231,184040
2021-07-02,324069,190294
2021-07-03,317782,177084
2021-07-04,271596,168957
2021-07-05,297481,183238
2021-07-06,320825,193170
2021-07-07,379184,221263
